Tag,LL,LR,PV,RF,RF_Ref,AF,AF_Ref,Range,Range_Ref
ActorsAbstractions,143.16742810457436,0.10188479803810056,5.402859840225558e-33,13.126347111221317,12.231324948339543,55054,60138,100,100
SignpostingAcademicWritingMoves,11.117551820130245,0.09871799164324081,0.0008551458793209468,1.0846033532340207,1.0128703688637952,4549,4980,100,100
CitationAuthority,-8.594001973402868,-0.17602980376797023,0.0033727199951800128,0.2403341789535926,0.2715224784002343,1008,1335,98,100
StanceModerated,-21.996802456681024,-0.30373861016431725,0.0000027310507548707247,0.19789421481297806,0.24426853674807594,830,1201,97,98.75
CitationNeutral,-37.760005389565464,-0.5938079386088911,8.00053203033625e-10,0.0805882465142007,0.12162579931336338,338,598,84,92.5
ConfidenceHigh,-49.84961191081703,-0.35078946923635873,1.6599321237705214e-12,0.33093634959085966,0.4220293203599147,1388,2075,100,100
StanceEmphatic,-57.85064702644411,-0.3283871642379437,2.8279394828232933e-14,0.44156636847425945,0.5544346637595796,1852,2726,100,100
SentimentNegative,-96.27316397358527,-0.20732203205431135,1.0007739378928756e-22,1.9205275907452266,2.2173318797897785,8055,10902,100,100
SignpostingMetadiscourse,-123.51970339282366,-0.22040372192383392,1.0731529572526252e-28,2.170637267057051,2.528921720171171,9104,12434,100,100
ConfidenceHedged,-138.42465365921794,-0.3542462272369415,5.884628504628304e-32,0.9000610372517978,1.150563790494476,3775,5657,100,100
PlanningFuture,-143.35716879560061,-0.6228402327215765,4.910642512876181e-33,0.27538291338432486,0.42406319660261316,1155,2085,94,100
OrganizationReasoning,-199.23173402630005,-0.2872545975743644,3.0724604657253056e-45,2.0151830163846873,2.4591597650466164,8452,12091,100,100
CitationControversy,-200.5968032430214,-2.250295201267898,1.547380141196641e-45,0.016928300303278847,0.08054149921085602,71,396,38,77.5
OrganizationNarrative,-289.2379902666198,-0.3449475977800203,7.287726716829008e-65,1.9896713525473515,2.5270912315527427,8345,12425,100,100
PlanningStrategy,-335.936970258751,-0.7274799967424086,4.894875300275851e-75,0.45658725465885897,0.7559917994109895,1915,3717,100,100
SentimentPositive,-402.0697299351091,-0.4409689071605669,1.9515664114433426e-89,1.6384687279455241,2.224247059014953,6872,10936,100,100
ActorsFirstPerson,-638.1876170006071,-1.3041179007740444,8.281476368399645e-141,0.22197531806130427,0.5481296474072145,931,2695,89,100
ActorsPublicEntities,-877.4819043224588,-0.9515710651728928,7.70997443274284e-193,0.6461365327026151,1.2496135635138874,2710,6144,99,100
ActorsPeople,-2321.928052584457,-0.8436719833668778,0,2.2559940488679495,4.048634048715403,9462,19906,100,100
